Subbasin_ID,GSP_Name,GSA,GSA_Name,Domestic Wells Per GSA
5-022.04,Merced Subbasin GSP,MercedIrrigation-Urban,Merced Irrigation- Urban,2413
5-022.04,Merced Subbasin GSP,MercedSubbasin,Merced Subbasin,592
5-022.12,Tulare Lake Subbasin GSP,Mid-KingsRiver,Mid-Kings River,903
5-022.11,Mid Kaweah GSA GSP,MidKaweahGroundwaterSubbasinJointPowersAuthority,Mid Kaweah Groundwater Subbasin Joint Powers Authority,455
5-022.06,New Stone WD GSP,NewStoneWaterDistrict,New Stone Water District,1
5-022.08,North Fork Kings GSA GSP,NorthFork,North Fork,697
5-022.08,North Kings GSA GSP,NorthKings,North Kings,5946
5-022.01,Eastern San Joaquin Subbasin GSP,NorthSanJoaquinWaterConservationDistrict,North San Joaquin Water Conservation District,1437
5-022.07,Northern & Central Delta-Mendota Region GSP,NorthwesternDelta-Mendota,Northwestern Delta-Mendota,79
5-022.01,Eastern San Joaquin Subbasin GSP,OakdaleIrrigationDistrict,Oakdale Irrigation District,757
5-022.14,Olcese Water District GSA,OlceseWaterDistrict,Olcese Water District,2
5-022.07,Northern & Central Delta-Mendota Region GSP,OraLomaWaterDistrict,Ora Loma Water District,1
5-022.07,Northern & Central Delta-Mendota Region GSP,PattersonIrrigationDistrict,Patterson Irrigation District,261
5-022.14,Kern Groundwater Authority GSP,Pioneer,Pioneer,1
5-022.13,Pixley Irrigation District GSA GSP,PixleyIrrigationDIstrict,Pixley Irrigation D Istrict,108
5-022.06,Root Creek WD GSP,RootCreekWaterDistrict,Root Creek Water District,16
3-004.01,Salinas Valley: 180/400 Foot Aquifer Subbasin GSP,SalinasValleyBasin,Salinas Valley Basin,334
5-022.07,San Joaquin River Exchange Contractors GSP,SanJoaquinRiverExchangeContractorsWaterAuthority,San Joaquin River Exchange Contractors Water Authority,723
3-004.06,Paso Robles Subbasin GSP,SanMiguelCommunityServicesDistrict,San Miguel Community Services District,9
3-001,Santa Cruz Mid-County Groundwater Basin GSP,SantaCruzMid-CountyGroundwaterAgency,Santa Cruz Mid-County Groundwater Agency,585
5-022.14,Kern Groundwater Authority GSP,SemitropicWaterStorageDistrict,Semitropic Water Storage District,91
3-004.06,Paso Robles Subbasin GSP,Shandon-SanJuan,Shandon-San Juan,15
5-022.01,Eastern San Joaquin Subbasin GSP,SouthDeltaWaterAgency,South Delta Water Agency,128
5-022.12,Tulare Lake Subbasin GSP,SouthForkKings,South Fork Kings,211
5-022.08,South Kings GSA GSP,SouthKings,South Kings,52
5-022.01,Eastern San Joaquin Subbasin GSP,SouthSanJoaquin,South San Joaquin,1270
5-022.12,Tulare Lake Subbasin GSP,SouthwestKings,Southwest Kings,2
5-022.01,Eastern San Joaquin Subbasin GSP,StocktonEastWaterDistrict,Stockton East Water District,1242
5-022.12,Tulare Lake Subbasin GSP,Tri-CountyWaterAuthority,Tri-County Water Authority,2
5-022.13,Tri-County Water Authority GSA-Tule GSA GSP,Tri-CountyWaterAuthority,Tri-County Water Authority,7
5-022.05,Chowchilla Subbasin GSP,TriangleTWaterDistrcit,Triangle T Water Distrcit,7
5-022.07,San Joaquin River Exchange Contractors GSP,TurnerIslandWater District,Turner Island Water  District,2
5-022.04,Merced Subbasin GSP,TurnerIslandWaterDistrict,Turner Island Water District,5
5-022.14,Kern Groundwater Authority GSP,WestKernWaterDistrict,West Kern Water District,4
5-022.09,Wetlands Water District Westside GSP,WestlandsWaterDistrict,Westlands Water District,44
5-022.07,Northern & Central Delta-Mendota Region GSP,WestStanislausIrrigationDistrict,West Stanislaus Irrigation District,60
5-022.07,Northern & Central Delta-Mendota Region GSP,WildrenWaterDistrict,Wildren Water District,0
5-022.01,Eastern San Joaquin Subbasin GSP,WoodbridgeIrrigationDistrict,Woodbridge Irrigation District,209
