Place,Pop16,HH16,MHI16,DAC16,Area_sqmi,FID_GSA_in,Basin_Numb,Basin_Subb,Basin_Name,GSA_Name,Area_sqm_1,Area_sqm_i,PercArea
Parlier city,14953,3714,30556,Y,2.317104296,28,5-022,5-022.08,SAN JOAQUIN VALLEY,South Kings GSA,14.6723293,2.198751214,0.948921987
Sanger city,24741,6710,42771,Y,5.765193195,28,5-022,5-022.08,SAN JOAQUIN VALLEY,South Kings GSA,14.6723293,5.695551947,0.987920397
Huron city,6821,1689,25321,Y,1.591030189,22,5-022,5-022.09,SAN JOAQUIN VALLEY,County of Fresno GSA - Westside,15.8998263,0.907847579,0.570603616
Avenal city,13590,2120,35103,Y,19.42177055,21,5-022,5-022.09,SAN JOAQUIN VALLEY,Westlands Water District GSA,955.6387173,2.945365249,0.151652767
Huron city,6821,1689,25321,Y,1.591030189,21,5-022,5-022.09,SAN JOAQUIN VALLEY,Westlands Water District GSA,955.6387173,0.68318261,0.429396384
Lindsay city,13052,3524,30317,Y,2.732672934,77,5-022,5-022.11,SAN JOAQUIN VALLEY,East Kaweah GSA,183.032892,2.732672934,1
Exeter city,10504,3418,42590,Y,2.463032397,75,5-022,5-022.11,SAN JOAQUIN VALLEY,Greater Kaweah GSA,342.8807822,2.435852651,0.988964925
Farmersville city,10699,2631,33689,Y,2.258414243,75,5-022,5-022.11,SAN JOAQUIN VALLEY,Greater Kaweah GSA,342.8807822,2.258414243,1
Woodlake city,7567,2093,34583,Y,2.847242937,75,5-022,5-022.11,SAN JOAQUIN VALLEY,Greater Kaweah GSA,342.8807822,2.791872298,0.980552893
Visalia city,128738,41988,52099,N,37.49378457,76,5-022,5-022.11,SAN JOAQUIN VALLEY,Mid-Kaweah GSA,162.6848518,37.050723,0.988183066
Tulare city,61664,18540,47196,Y,20.45116291,76,5-022,5-022.11,SAN JOAQUIN VALLEY,Mid-Kaweah GSA,162.6848518,20.21699767,0.988550028
Corcoran city,22917,3826,35531,Y,7.504429399,69,5-022,5-022.12,SAN JOAQUIN VALLEY,El Rico GSA,357.4651309,7.493798271,0.998583353
Hanford city,54912,17868,51231,N,16.80365605,70,5-022,5-022.12,SAN JOAQUIN VALLEY,Mid-Kings River GSA,152.1242494,15.4396963,0.918829584
Lemoore city,25169,8476,50871,Y,8.516598538,71,5-022,5-022.12,SAN JOAQUIN VALLEY,South Fork Kings GSA,111.4220526,8.516598538,1
Porterville city,58472,16799,39763,Y,18.61675504,98,5-022,5-022.13,SAN JOAQUIN VALLEY,Eastern Tule GSA,251.3395795,18.22476456,0.97894421
McFarland city,13391,2925,33687,Y,2.668054165,83,5-022,5-022.14,SAN JOAQUIN VALLEY,City of McFarland GSA,2.666456536,2.59558068,0.972836577
Arvin city,20562,4649,36524,Y,4.819346315,88,5-022,5-022.14,SAN JOAQUIN VALLEY,Kern Groundwater Authority GSA,1592.495818,4.819346315,1
Delano city,52538,11046,36265,Y,14.35512281,88,5-022,5-022.14,SAN JOAQUIN VALLEY,Kern Groundwater Authority GSA,1592.495818,14.32423035,0.997847984
Shafter city,17801,4476,41085,Y,27.94450938,88,5-022,5-022.14,SAN JOAQUIN VALLEY,Kern Groundwater Authority GSA,1592.495818,27.76145436,0.993449338
Wasco city,26061,5254,39559,Y,9.425850557,88,5-022,5-022.14,SAN JOAQUIN VALLEY,Kern Groundwater Authority GSA,1592.495818,9.380760991,0.995216393
Bakersfield city,367555,113682,58669,N,150.2613467,89,5-022,5-022.14,SAN JOAQUIN VALLEY,Kern River GSA,356.5373638,143.6500072,0.956001063
Taft city,9128,2428,49844,Y,15.26353229,91,5-022,5-022.14,SAN JOAQUIN VALLEY,West Kern Water District GSA,250.7771912,15.25380643,0.999362804
Maricopa city,1115,393,33295,Y,1.501782725,91,5-022,5-022.14,SAN JOAQUIN VALLEY,West Kern Water District GSA,250.7771912,1.061380553,0.706747078
Ridgecrest city,28604,11039,59780,N,21.53085059,61,6-054,6-054,INDIAN WELLS VALLEY,Indian Wells Valley Groundwater Authority GSA,596.3119089,21.03535102,0.976986531
