GEOID,DAC_NAME,DAC_NAMELSAD,Pop16,HH16,MHI16,DAC16,Area_sqmi,FID_GSA_in,Basin_Numb,Basin_Subb,Basin_Name,GSA_Name,Area_sqm_1,Area_sqm_i,PercArea
604632,Bear Creek,Bear Creek CDP,112,75,33042,Y,0.057301547,59,5-022,5-022.04,SAN JOAQUIN VALLEY,Merced Irrigation-Urban GSA,254.2324565,0.057301547,1
657582,Planada,Planada CDP,4499,1197,39075,Y,1.577107477,59,5-022,5-022.04,SAN JOAQUIN VALLEY,Merced Irrigation-Urban GSA,254.2324565,1.577107477,1
686076,Winton,Winton CDP,11309,2883,41486,Y,3.040873553,59,5-022,5-022.04,SAN JOAQUIN VALLEY,Merced Irrigation-Urban GSA,254.2324565,3.040873553,1
674144,Stevinson,Stevinson CDP,243,75,0,Data Not Available,1.130267006,58,5-022,5-022.04,SAN JOAQUIN VALLEY,Merced Subbasin GSA,527.1173128,1.130267006,1
681312,University of California-Merced,University of California-Merced CDP,0,0,0,Data Not Available,0.660498028,58,5-022,5-022.04,SAN JOAQUIN VALLEY,Merced Subbasin GSA,527.1173128,0.660498028,1
641040,Le Grand,Le Grand CDP,1721,483,41776,Y,1.140234088,58,5-022,5-022.04,SAN JOAQUIN VALLEY,Merced Subbasin GSA,527.1173128,0.124677226,0.109343535
623210,Fairmead,Fairmead CDP,1986,353,31773,Y,7.735731365,2,5-022,5-022.05,SAN JOAQUIN VALLEY,Chowchilla Water District GSA,133.1675543,2.769142992,0.357967833
613294,Chowchilla,Chowchilla city,18195,3704,35903,Y,11.13649673,2,5-022,5-022.05,SAN JOAQUIN VALLEY,Chowchilla Water District GSA,133.1675543,9.503831761,0.853395101
645022,Madera,Madera city,63398,17007,40034,Y,15.78920939,66,5-022,5-022.06,SAN JOAQUIN VALLEY,City of Madera GSA,15.79074724,15.53781458,0.984078062
613294,Chowchilla,Chowchilla city,18195,3704,35903,Y,11.13649673,68,5-022,5-022.06,SAN JOAQUIN VALLEY,County of Madera GSA - Madera,276.7823451,1.632664974,0.146604899
655751,Parksdale,Parksdale CDP,3022,624,32097,Y,1.812058825,68,5-022,5-022.06,SAN JOAQUIN VALLEY,County of Madera GSA - Madera,276.7823451,0.574532567,0.31706066
623210,Fairmead,Fairmead CDP,1986,353,31773,Y,7.735731365,68,5-022,5-022.06,SAN JOAQUIN VALLEY,County of Madera GSA - Madera,276.7823451,2.857958522,0.369449039
640872,La Vina,La Vina CDP,291,50,0,Data Not Available,0.100721793,62,5-022,5-022.06,SAN JOAQUIN VALLEY,Madera Irrigation District GSA,209.1040019,0.100721793,1
623210,Fairmead,Fairmead CDP,1986,353,31773,Y,7.735731365,62,5-022,5-022.06,SAN JOAQUIN VALLEY,Madera Irrigation District GSA,209.1040019,2.101374454,0.271645221
655751,Parksdale,Parksdale CDP,3022,624,32097,Y,1.812058825,62,5-022,5-022.06,SAN JOAQUIN VALLEY,Madera Irrigation District GSA,209.1040019,1.234550111,0.681296928
